School,URL,school_key,primary_domain,last_crawled_at,logo_url,admissions_email,communications_email,extracted_at,general_email,url_status,url_last_checked,trip_crawl_health_score,trip_crawl_tier
American School of Bombay,http://www.asbindia.org/,american_school_of_bombay,www.asbindia.org,2026-02-06T20:57:51.369569+00:00,http://www.asbindia.org/Images/img/LOGO.svg,,,2026-02-06T12:00:22.527853+00:00,,,,65,Partial
American School of Milan,https://www.asmilan.org/,american_school_of_milan,www.asmilan.org,2026-02-06T20:57:53.769658+00:00,https://www.asmilan.org/wp-content/themes/asm/build/images/logo.svg,,,2026-02-06T12:00:22.527853+00:00,,,,80,Healthy
Beijing Dulwich International School,https://beijing.dulwich.org/,beijing_dulwich_international_school,beijing.dulwich.org,2026-02-06T20:58:01.420840+00:00,https://www.dulwich.org/images/logos/crest-logo.svg,,,2026-02-06T12:00:22.527853+00:00,,,,65,Partial
British International School Hanoi,https://www.nordangliaeducation.com/,british_international_school_hanoi,www.nordangliaeducation.com,2026-02-06T20:58:06.422298+00:00,https://www.nordangliaeducation.com/-/media/corporate/logo/corporate-black-logo.svg?h=95&iar=0&w=73&rev=b66ec7757b0c4d799d59df9dd1822ed9&hash=27EBC3850A61E21252893CFC41C67EEB,,,2026-02-06T12:00:22.527853+00:00,,,,80,Healthy
Canadian Academy,https://www.canacad.ac.jp/,canadian_academy,www.canacad.ac.jp,2026-02-06T20:58:08.536802+00:00,,,,2026-02-06T12:00:22.527853+00:00,,,,80,Healthy
Canadian International School of Hong Kong,http://www.cdnis.edu.hk/,canadian_international_school_of_hong_kong,www.cdnis.edu.hk,2026-02-07T11:08:53.475248+00:00,,,,2026-02-06T12:00:22.527853+00:00,,ok,2026-02-07T11:08:26.944062+00:00,20,Unacceptable
Shrewsbury International School Bangkok,https://www.shrewsbury.ac.th/,shrewsbury_international_school_bangkok,www.shrewsbury.ac.th,2026-02-06T20:58:10.716051+00:00,https://www.shrewsbury.ac.th/wp-content/uploads/2026/01/cropped-mainlogo.png,,,2026-02-06T12:00:22.527853+00:00,,,,0,Unacceptable
The American College of Sofia,http://www.acs.bg/,the_american_college_of_sofia,www.acs.bg,2026-02-06T20:58:12.194228+00:00,http://www.acs.bg/media/img/acs_logo.png,,,2026-02-06T12:00:22.527853+00:00,,,,0,Unacceptable
The American School in London,https://www.asl.org/,the_american_school_in_london,www.asl.org,2026-02-06T20:58:14.622911+00:00,,,,2026-02-06T12:00:22.527853+00:00,,,,65,Partial
The British School Manila,http://www.britishschoolmanila.org/,the_british_school_manila,www.britishschoolmanila.org,2026-02-06T20:58:16.700647+00:00,,,,2026-02-06T12:00:22.527853+00:00,,,,80,Healthy
The International School of Kuala Lumpur (ISKL),https://www.iskl.edu.my/,the_international_school_of_kuala_lumpur_iskl,www.iskl.edu.my,2026-02-06T20:58:18.473322+00:00,,,,2026-02-06T12:00:22.527853+00:00,,,,80,Healthy
UWC South East Asia (East Campus),https://www.uwcsea.edu.sg/,uwc_south_east_asia_east_campus,www.uwcsea.edu.sg,2026-02-06T20:58:19.463221+00:00,,,,2026-02-06T12:00:22.527853+00:00,,,,80,Healthy
UWC Thailand,https://uwcthailand.ac.th/,uwc_thailand,uwcthailand.ac.th,2026-02-06T20:58:25.274107+00:00,https://resources.finalsite.net/images/t_image_size_4/v1676905241/uwcthailandacth/zaivtdue2qf9rq5jzryz/Campus-DSC_7038.jpg,,,2026-02-06T12:00:22.527853+00:00,,,,50,Partial
Western Academy Of Beijing,http://www.wab.edu/,western_academy_of_beijing,www.wab.edu,2026-02-06T20:58:27.420052+00:00,,,,2026-02-06T12:00:22.527853+00:00,,,,55,Partial
Wesgreen International School,https://www.wesgreeninternationalschool-sharjah.com/,wesgreen_international_school,www.wesgreeninternationalschool-sharjah.com,2026-02-07T00:12:17.953422+00:00,https://www.wesgreeninternationalschool-sharjah.com/-/media/project/gems/shared/icon-home.png?h=21&w=23&hash=E46BFF4B2629F489ED9348EB906F98E8,,,,,ok,2026-02-07T00:12:15.986155+00:00,0,Unacceptable
ABA Oman International School,http://www.abaoman.org/,aba_oman_international_school,www.abaoman.org,2026-02-07T00:13:34.027361+00:00,,,,,,ok,2026-02-07T00:12:20.071752+00:00,65,Partial
Abaarso School of Science and Technology,http://www.abaarsoschool.org/,abaarso_school_of_science_and_technology,www.abaarsoschool.org,2026-02-07T00:12:26.114899+00:00,http://images.squarespace-cdn.com/content/v1/68273864b1a851457b44a0c5/90e556e5-efee-4de4-be68-f43abb065b74/logoAbaarsoNetwork.png?format=1500w,,,,,ok,2026-02-07T00:12:23.727342+00:00,0,Unacceptable
Aci High School,http://www.acischools.k12.tr/,aci_high_school,www.acischools.k12.tr,2026-02-07T00:12:33.659674+00:00,https://www.acischools.k12.tr/wp-content/uploads/2024/12/aci-website-logo.png,,,,,ok,2026-02-07T00:12:27.534588+00:00,0,Unacceptable
ACS (Independent),http://www.acsindep.moe.edu.sg/,acs_independent,www.acsindep.moe.edu.sg,2026-02-07T00:12:46.973884+00:00,http://www.acsindep.moe.edu.sg/assets/img/isomer_logo.svg,,,,,ok,2026-02-07T00:12:45.789750+00:00,0,Unacceptable
ACS International,https://www.acsinternational.edu.sg/,acs_international,www.acsinternational.edu.sg,2026-02-07T00:13:00.289779+00:00,https://www.acsinternational.edu.sg/wp-content/themes/acs/images/ACSLogo.png,,,,,ok,2026-02-07T00:12:58.495615+00:00,40,Partial
African Leadership Academy,http://www.africanleadershipacademy.org/,african_leadership_academy,www.africanleadershipacademy.org,2026-02-07T10:29:58.609813+00:00,https://www.africanleadershipacademy.org/wp-content/uploads/2023/04/ALA-logo-RGB-Horizontal-1-colour-06.png,,,,,ok,2026-02-07T10:29:55.271353+00:00,50,Partial
Aitchison College,http://www.aitchison.edu.pk/,aitchison_college,www.aitchison.edu.pk,2026-02-07T10:30:10.105959+00:00,https://aitchison.edu.pk/resources/assets/images/social/facebook-logo-v5.svg,,,,,ok,2026-02-07T10:30:09.739920+00:00,0,Unacceptable
Ajman Academy School,http://www.ajmanacademy.com/,ajman_academy_school,www.ajmanacademy.com,2026-02-07T10:30:14.973044+00:00,https://www.ajmanacademy.com/wp-content/uploads/2025/02/ajacadmy-logo.png,,,,,ok,2026-02-07T10:30:13.276903+00:00,0,Unacceptable
Ajmera Global School,https://ajmeraglobalschool.com/,ajmera_global_school,ajmeraglobalschool.com,2026-02-07T10:30:17.981501+00:00,https://ajmeraglobalschool.com/wp-content/uploads/2022/10/ags-final-logo.png,,,,,ok,2026-02-07T10:30:17.081913+00:00,0,Unacceptable
Al Batinah International School,https://www.abisoman.com/,al_batinah_international_school,,,,,,,,broken,2026-02-07T10:30:59.228068+00:00,,
Al Hussan International School,http://international.alhussan.edu.sa/,al_hussan_international_school,international.alhussan.edu.sa,2026-02-07T10:31:04.300407+00:00,http://international.alhussan.edu.sa/images/HussanFacbook.png,,,,,ok,2026-02-07T10:31:00.296069+00:00,0,Unacceptable
American Community School Beirut,http://www.acs.edu.lb/,american_community_school_beirut,www.acs.edu.lb,2026-02-07T10:31:57.535953+00:00,https://resources.finalsite.net/images/t_image_size_4/v1720755530/acsbeirut/xnwa8v8gtbmsvjqeivzj/ACS_Beirut_Logo.jpg,,,,,ok,2026-02-07T10:31:06.512504+00:00,30,Unacceptable
American Community School of Amman,http://www.acsamman.edu.jo/,american_community_school_of_amman,www.acsamman.edu.jo,2026-02-07T10:31:43.059572+00:00,http://www.acsamman.edu.jo/images/img/common/Logo.svg,,,,,ok,2026-02-07T10:31:41.270565+00:00,40,Partial
American International School,http://www.aischennai.org/,american_international_school,www.aischennai.org,2026-02-07T10:32:06.627837+00:00,https://www.aischennai.org/userfiles/aiscmvc/images/experience-pages/community/header/auditorium-newwheel.jpg?command_1=resize&width_1=1200,,,,,ok,2026-02-07T10:32:05.419130+00:00,65,Partial
American International School - AISR,http://www.aisr.org/,american_international_school_aisr,www.aisr.org,2026-02-07T10:32:25.698012+00:00,,,,,,ok,2026-02-07T10:32:24.883596+00:00,0,Unacceptable
American International School Dhaka (AISD),https://www.aisdhaka.org/,american_international_school_dhaka_aisd,www.aisdhaka.org,2026-02-07T10:32:40.722814+00:00,,,,,,ok,2026-02-07T10:32:40.365173+00:00,0,Unacceptable
American International School of Bucharest (AISB),http://www.aisb.ro/,american_international_school_of_bucharest_aisb,www.aisb.ro,2026-02-07T10:32:50.562437+00:00,"data:image/svg+xml,%3Csvg%20xmlns=%27http://www.w3.org/2000/svg%27%20width='120'%20height='142'%20viewBox=%270%200%20120%20142%27%3E%3C/svg%3E",,,,,ok,2026-02-07T10:32:48.016804+00:00,0,Unacceptable
American International School of Cape Town,http://www.aisct.org/,american_international_school_of_cape_town,www.aisct.org,2026-02-07T10:33:31.016718+00:00,https://www.aisct.org/wp-content/uploads/2023/06/AISCT_logo.png,,,,,ok,2026-02-07T10:33:29.686631+00:00,0,Unacceptable
American International School of Johannesburg,http://www.aisj-jhb.com/,american_international_school_of_johannesburg,www.aisj-jhb.com,2026-02-07T10:33:55.406280+00:00,,,,,,ok,2026-02-07T10:33:53.148521+00:00,10,Unacceptable
American International School of Mozambique (Main campus),http://www.aism.co.mz/,american_international_school_of_mozambique_main_campus,www.aism.co.mz,2026-02-07T10:34:24.854588+00:00,http://www.aism.co.mz/uploads/1/4/5/1/145116439/logo-white-solid.png,,,,,ok,2026-02-07T10:34:22.257057+00:00,0,Unacceptable
